id_sinistro,data,nome,id,motocicleta
87582,2021-01-13,BANDEIRANTES,45,FALSE
88366,2021-01-20,ESTADO,31,FALSE
89132,2021-01-27,PRESTES MAIA,41,FALSE
89632,2021-01-31,WASHINGTON LUIS,29,TRUE
89786,2021-02-01,CALIM EID,10,TRUE
89788,2021-02-01,TIRADENTES,7,TRUE
89968,2021-02-03,CALIM EID,10,FALSE
90430,2021-02-07,BANDEIRANTES,45,TRUE
90703,2021-02-09,SANTOS DUMONT,43,FALSE
90927,2021-02-11,ESTADO,31,FALSE
91267,2021-02-14,MIGUEL YUNES,36,TRUE
91925,2021-02-20,ESTADO,31,TRUE
93109,2021-03-02,TEOTONIO VILELA,6,FALSE
94372,2021-03-14,HELDER CAMARA,12,FALSE
94650,2021-03-17,INAJAR SOUZA,13,TRUE
96473,2021-04-04,TEOTONIO VILELA,6,FALSE
96586,2021-04-05,ESTADO,31,FALSE
98267,2021-04-21,NACOES UNIDAS,37,TRUE
98798,2021-04-25,TEOTONIO VILELA,6,TRUE
99822,2021-05-04,PAULO VI,38,FALSE
100516,2021-05-09,ESCOLA POLITECNICA,5,TRUE
100633,2021-05-10,WASHINGTON LUIS,29,TRUE
102456,2021-05-25,ARICANDUVA,8,TRUE
102554,2021-05-26,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
103117,2021-05-30,BANDEIRANTES,45,FALSE
103731,2021-06-04,TEOTONIO VILELA,6,TRUE
103950,2021-06-05,NACOES UNIDAS,37,TRUE
105444,2021-06-18,JACU PESSEGO,33,FALSE
105878,2021-06-20,BRAZ LEME,24,TRUE
106523,2021-06-26,TEOTONIO VILELA,6,FALSE
106591,2021-06-26,SALIM FARAH MALUF,15,TRUE
106907,2021-06-29,ESCOLA POLITECNICA,5,TRUE
108361,2021-07-10,ESTADO,31,FALSE
109248,2021-07-17,JACU PESSEGO,33,TRUE
109859,2021-07-21,RICARDO JAFET,2,TRUE
111508,2021-08-03,RICARDO JAFET,2,TRUE
112529,2021-08-10,ESCOLA POLITECNICA,5,FALSE
113910,2021-08-21,HELDER CAMARA,12,FALSE
114688,2021-08-27,ARICANDUVA,8,TRUE
114744,2021-08-28,PRESTES MAIA,41,FALSE
115530,2021-09-03,NACOES UNIDAS,37,TRUE
115783,2021-09-05,ESTADO,31,FALSE
115838,2021-09-06,TEOTONIO VILELA,6,TRUE
117199,2021-09-18,PRESTES MAIA,41,FALSE
117329,2021-09-19,ESTADO,31,TRUE
118312,2021-09-26,ABRAAO MORAIS,1,TRUE
119033,2021-10-02,JACU PESSEGO,33,TRUE
119481,2021-10-05,TEOTONIO VILELA,6,TRUE
119753,2021-10-08,BANDEIRANTES,45,TRUE
120531,2021-10-14,ESTADO,31,FALSE
121451,2021-10-22,WASHINGTON LUIS,29,TRUE
121778,2021-10-23,SALIM FARAH MALUF,15,TRUE
122155,2021-10-27,TEOTONIO VILELA,6,FALSE
123616,2021-11-07,TEOTONIO VILELA,6,TRUE
124495,2021-11-14,ESTADO,31,FALSE
125003,2021-11-19,NACOES UNIDAS,37,TRUE
125379,2021-11-21,SALIM FARAH MALUF,15,FALSE
125856,2021-11-25,INAJAR SOUZA,13,TRUE
129664,2021-12-23,TEOTONIO VILELA,6,FALSE
130167,2021-12-27,JACU PESSEGO,33,FALSE
134412,2022-02-10,ESTADO,31,FALSE
134743,2022-02-12,ARICANDUVA,8,FALSE
135237,2022-02-16,ESCOLA POLITECNICA,5,FALSE
135888,2022-02-21,JACU PESSEGO,33,TRUE
136448,2022-02-26,BANDEIRANTES,45,TRUE
136857,2022-03-01,ABRAAO MORAIS,1,FALSE
138345,2022-03-13,BANDEIRANTES,45,FALSE
138694,2022-03-16,SALIM FARAH MALUF,15,TRUE
139864,2022-03-25,JACU PESSEGO,33,TRUE
140328,2022-03-28,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
141085,2022-04-04,CALIM EID,10,FALSE
141755,2022-04-09,INAJAR SOUZA,13,FALSE
141763,2022-04-09,TEOTONIO VILELA,6,FALSE
141765,2022-04-09,TEOTONIO VILELA,6,TRUE
142052,2022-04-11,TEOTONIO VILELA,6,TRUE
142169,2022-04-12,BANDEIRANTES,45,TRUE
142425,2022-04-14,SALIM FARAH MALUF,15,TRUE
142606,2022-04-16,NACOES UNIDAS,37,TRUE
142920,2022-04-19,NACOES UNIDAS,37,TRUE
142965,2022-04-19,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
143486,2022-04-24,LUIZ IGNACIO ANHAIA MELLO,21,FALSE
144789,2022-05-05,INAJAR SOUZA,13,FALSE
145510,2022-05-10,PRESTES MAIA,41,FALSE
146144,2022-05-15,CARVALHO PINTO,11,FALSE
147339,2022-05-25,SALIM FARAH MALUF,15,TRUE
148096,2022-05-30,ESCOLA POLITECNICA,5,TRUE
148097,2022-05-30,NACOES UNIDAS,37,TRUE
148648,2022-06-04,TANCREDO NEVES,23,FALSE
148826,2022-06-05,ABRAAO MORAIS,1,FALSE
148857,2022-06-05,CALIM EID,10,TRUE
149572,2022-06-11,SALIM FARAH MALUF,15,TRUE
150915,2022-06-22,CURSINO,19,TRUE
151017,2022-06-22,ARICANDUVA,8,FALSE
151574,2022-06-27,ARICANDUVA,8,TRUE
151847,2022-06-29,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
151956,2022-06-30,INAJAR SOUZA,13,TRUE
154603,2022-07-22,BRAZ LEME,24,FALSE
154779,2022-07-24,LUIZ IGNACIO ANHAIA MELLO,21,FALSE
155105,2022-07-27,WASHINGTON LUIS,29,TRUE
155229,2022-07-28,NACOES UNIDAS,37,TRUE
155291,2022-07-29,BANDEIRANTES,45,FALSE
156749,2022-08-09,HELDER CAMARA,12,FALSE
157316,2022-08-13,TEOTONIO VILELA,6,TRUE
158169,2022-08-20,ESTADO,31,FALSE
158366,2022-08-22,SUMARE,39,FALSE
160670,2022-09-09,BANDEIRANTES,45,TRUE
160737,2022-09-09,ALIOMAR BALEEIRO,18,FALSE
161309,2022-09-14,JACU PESSEGO,33,TRUE
161477,2022-09-15,JACU PESSEGO,33,TRUE
161480,2022-09-15,LUIZ IGNACIO ANHAIA MELLO,21,FALSE
161739,2022-09-17,ESTADO,31,TRUE
162087,2022-09-20,JACU PESSEGO,33,TRUE
162193,2022-09-21,ELISEU ALMEIDA,25,TRUE
162444,2022-09-23,VINTE E TRES MAIO,46,TRUE
163810,2022-10-05,JACU PESSEGO,33,TRUE
163814,2022-10-05,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
163818,2022-10-05,NACOES UNIDAS,37,FALSE
164119,2022-10-07,JACU PESSEGO,33,TRUE
164365,2022-10-09,PRESTES MAIA,41,FALSE
164676,2022-10-12,SALIM FARAH MALUF,15,TRUE
165013,2022-10-15,CALIM EID,10,TRUE
165110,2022-10-16,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
165148,2022-10-16,FARIA LIMA,32,TRUE
165500,2022-10-20,LUIZ IGNACIO ANHAIA MELLO,21,TRUE
165864,2022-10-23,JACU PESSEGO,33,TRUE
165914,2022-10-23,SALIM FARAH MALUF,15,TRUE
166589,2022-10-29,JACU PESSEGO,33,FALSE
166658,2022-10-29,JACU PESSEGO,33,FALSE
169274,2022-11-19,SALIM FARAH MALUF,15,FALSE
169349,2022-11-20,TEOTONIO VILELA,6,FALSE
172092,2022-12-10,ESTADO,31,FALSE
174608,2023-01-01,JACU PESSEGO,33,FALSE
174626,2023-01-01,ARICANDUVA,8,FALSE
